PlayerId,Player,RosterPosition,RunDefSnaps,RunDefPoints,PassRushSnaps,PassRushPoints,PassCovSnaps,PassCovPoints,RunDefPPS,PassRushPPS,PassCovPPS,RunDefTRUE,PassRushTRUE,PassCovTRUE
7663,Logan Wilson,LB,343,6,79,5,502,7,0.01749271137026239,0.06329113924050633,0.013944223107569721,0.016732795628984,0.034893992932862196,0.01364628397008225
6855,Dre'Mont Jones,DT,241,10,422,10,3,0,0.04149377593360996,0.023696682464454975,0,0.038059442215975486,0.02299652327444334,0
8431,Odafe Oweh,LB,178,6,376,9,56,-1,0.033707865168539325,0.023936170212765957,-0.017857142857142856,0.028972926048505238,0.02305931094635848,-0.0068359375
6542,Tyquan Lewis,DE,108,1,143,5,6,0,0.009259259259259259,0.03496503496503497,0,0.006439303601240161,0.02793841825570491,0
1106,Devon Kennard,LB,11,0,15,0,3,0,0,0,0,0,0,0
8435,Shaun Wade,CB,0,NA,0,NA,17,-6,NA,NA,-0.35294117647058826,NA,NA,-0.019223520542781758
9042,Leo Chenal,LB,129,5,32,2,86,2,0.03875968992248062,0.0625,0.023255813953488372,0.02962792834175471,0.010568031704095112,0.013779842973882392
7027,Sione Takitaki,LB,233,4,34,3,198,10,0.017167381974248927,0.08823529411764706,0.050505050505050504,0.015658076005510568,0.016478190630048465,0.044592585919553174
6485,Terrell Edmunds,S,339,14,30,2,477,7,0.04129793510324484,0.06666666666666667,0.014675052410901468,0.03946449359720605,0.01011804384485666,0.014330103087474143
7755,Jonathan Kongbo,LB,23,0,25,0,5,1,0,0,0.2,0,0,9.940357852882705e-4
7615,Bryce Hall,CB,4,0,1,0,10,0,0,0,0,0,0,0
9504,Elijah Garcia,DT,4,0,14,0,0,NA,0,0,NA,0,0,NA
7959,Lamar Jackson,CB,7,0,1,0,30,1,0,0,0.03333333333333333,0,0,0.00505902192242833
9240,Jack Jones,CB,167,9,2,0,247,19,0.05389221556886228,0,0.07692307692307693,0.045468296224588575,0,0.07083132093697175
4707,Josh Tupou,DT,128,2,129,1,4,0,0.015625,0.007751937984496124,0,0.01190033469691335,0.005925585668350941,0
7149,Drue Tranquill,LB,391,12,84,9,453,8,0.030690537084398978,0.10714285714285714,0.017660044150110375,0.029645167812373637,0.06227347611202636,0.017202912722750187
846,Eric Kendricks,LB,398,18,86,4,575,5,0.04522613065326633,0.046511627906976744,0.008695652173913044,0.043735729722469814,0.027559685947764784,0.00855145746579417
6581,Chandon Sullivan,CB,298,9,31,4,583,22,0.030201342281879196,0.12903225806451613,0.03773584905660377,0.0285009882893031,0.020694259012016023,0.03712601889588737
8562,Divine Deablo,LB,170,5,33,2,236,-4,0.029411764705882353,0.06060606060606061,-0.01694915254237288,0.024948635162899913,0.01078079059131003,-0.015492680364997045
4984,Marlon Humphrey,CB,369,12,16,5,620,18,0.032520325203252036,0.3125,0.02903225806451613,0.031286653006429736,0.015174506828528073,0.028613917235013588
7063,Nik Needham,CB,101,2,8,0,170,4,0.019801980198019802,0,0.023529411764705882,0.01320088877270945,0,0.01995890813031993
6826,Anthony Pittman,LB,18,1,20,0,11,1,0.05555555555555555,0,0.09090909090909091,0.0033695245226506923,0,0.0021434138737334374
6797,Jeffery Simmons,DT,228,8,546,18,6,1,0.03508771929824561,0.03296703296703297,0.16666666666666666,0.03188142347759211,0.03236493206262226,0.0011900039666798887
3214,Kerry Hyder Jr.,DT,122,2,218,8,0,NA,0.01639344262295082,0.03669724770642202,NA,0.0121963410976707,0.033066626218194235,NA
7989,Myles Bryant,S,178,7,15,0,468,11,0.03932584269662921,0,0.023504273504273504,0.03380174705658944,0,0.02293177485166509
7078,Andrew Van Ginkel,LB,120,5,88,5,93,10,0.041666666666666664,0.056818181818181816,0.10752688172043011,0.030737704918032786,0.03428927680798005,0.06767573861155582
8440,Marco Wilson,CB,242,8,10,1,487,26,0.03305785123966942,0.1,0.053388090349075976,0.030341974109017962,0.0019569471624266144,0.052180865092971124
3901,Mike Hilton,CB,210,13,50,5,421,18,0.06190476190476191,0.1,0.04275534441805225,0.05536402352464003,0.033112582781456956,0.04148646133295376
9210,Decobie Durant,CB,93,2,9,1,170,18,0.021505376344086023,0.1111111111111111,0.10588235294117647,0.013535147722311165,0.001768172888015717,0.08981508658643969
4191,Anthony Brown,CB,280,6,6,0,407,9,0.02142857142857143,0,0.022113022113022112,0.020076481835564056,0,0.021414039846599942
9181,Kyler Gordon,CB,382,19,26,1,399,9,0.049738219895287955,0.038461538461538464,0.022556390977443608,0.047969016430280356,0.004559803577692038,0.021816524908869987
6338,Josh Woods,LB,0,NA,3,1,4,0,NA,0.3333333333333333,0,NA,5.985634477254588e-4,0
9076,Dane Belton,S,114,0,32,2,219,4,0,0.0625,0.0182648401826484,0,0.010568031704095112,0.016472358029334333
4036,Kyle Peko,DT,68,1,73,1,2,0,0.014705882352941176,0.0136986301369863,0,0.007016095749071399,0.00701788117669679,0
6482,Olasunkanmi Adeniyi,LB,23,1,37,0,6,0,0.043478260869565216,0,0,0.004142651296829971,0,0
8376,Isaiah McDuffie,LB,71,1,14,0,77,1,0.014084507042253521,0,0.012987012987012988,0.007021360759493672,0,0.006996183899691078
8526,Benjamin St-Juste,CB,227,8,8,2,385,22,0.03524229074889868,0.25,0.05714285714285714,0.031996617097751784,0.0031545741324921135,0.055139639346396714
6429,Tim Settle,DT,141,4,212,3,0,NA,0.028368794326241134,0.014150943396226415,NA,0.022540164655103508,0.012680437036446288,NA
8373,T.J. Slaton,DT,183,4,124,3,2,0,0.02185792349726776,0.024193548387096774,0,0.018928423665701286,0.018146341463414633,0
5059,Shaquill Griffin,CB,115,4,1,0,191,-1,0.034782608695652174,0,-0.005235602094240838,0.02508178844056707,0,-0.0045834133230946445
7679,Malik Harrison,LB,112,6,25,1,96,3,0.05357142857142857,0.04,0.03125,0.038060715903942006,0.004424778761061947,0.020122973728339853
4787,Haason Reddick,LB,296,2,430,38,63,-1,0.006756756756756757,0.08837209302325581,-0.015873015873015872,0.00637162045806785,0.08585089055850366,-0.006975199291408325
558,Markus Golden,LB,255,13,450,8,44,-2,0.050980392156862744,0.017777777777777778,-0.045454545454545456,0.04716846898121798,0.017311853811012263,-0.012607449856733526
8540,Pat Surtain II,CB,390,17,13,1,632,42,0.04358974358974359,0.07692307692307693,0.06645569620253164,0.042097910978474824,0.0025086839058278657,0.06553167957023225
7940,DeMarquis Gates,LB,2,0,0,NA,0,NA,0,NA,NA,0,NA,NA
7956,Javelin Guidry,CB,0,NA,0,NA,17,1,NA,NA,0.058823529411764705,NA,NA,0.003203920090463626
2677,Kwon Alexander,LB,266,14,23,2,240,-4,0.05263157894736842,0.08695652173913043,-0.016666666666666666,0.04898581989424114,0.008285302593659942,-0.015276893698281349
8441,Victor Dimukeje,LB,117,1,95,1,18,1,0.008547008547008548,0.010526315789473684,0.05555555555555555,0.0062214186961608,0.006728045325779037,0.0033695245226506923
3690,Eli Apple,CB,310,11,14,0,550,11,0.035483870967741936,0,0.02,0.03362587516024061,0,0.019639668884921278
6379,Jessie Bates,S,371,14,29,1,579,36,0.03773584905660377,0.034482758620689655,0.06217616580310881,0.0363186306044248,0.004940374787052811,0.061158382724018544
8170,Kameron Cline,DT,6,0,6,0,0,NA,0,0,NA,0,0,NA
8520,Aaron Robinson,CB,29,1,0,NA,38,3,0.034482758620689655,NA,0.07894736842105263,0.004940374787052811,NA,0.017587164455414996
9089,Thomas Booker IV,DT,112,1,77,0,2,0,0.008928571428571428,0,0,0.006343452650657001,0,0
8185,Joe Gaziano,DT,55,3,52,0,0,NA,0.05454545454545454,0,NA,0.020420792079207918,0,NA
6964,Ben Banogu,DE,52,0,57,0,2,0,0,0,0,0,0,0
7216,Kevin Givens,DT,140,7,196,4,2,0,0.05,0.02040816326530612,0,0.039611964430072755,0.017976703659543243,0
8415,Phil Hoskins,DT,28,0,12,0,0,NA,0,0,NA,0,0,NA
8465,Ambry Thomas,CB,5,0,0,NA,34,3,0,NA,0.08823529411764706,0,NA,0.016478190630048465
8602,Innis Gaines,S,11,1,0,NA,33,2,0.09090909090909091,NA,0.06060606060606061,0.0021434138737334374,NA,0.01078079059131003
6340,Da'Shawn Hand,DT,1,0,1,0,0,NA,0,0,NA,0,0,NA
7166,Rashad Fenton,CB,45,2,1,0,18,-3,0.044444444444444446,0,-0.16666666666666666,0.01272984441301273,0,-0.010108573567952077
6886,Micah Abernathy,S,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
3638,Kevon Seymour,CB,4,0,0,NA,1,1,0,NA,1,0,NA,1.9992003198720512e-4
434,Kyle Fuller,CB,17,0,1,0,57,-1,0,0,-0.017543859649122806,0,0,-0.006862509029617145
8395,Adetokunbo Ogundeji,LB,271,6,199,0,49,0,0.02214022140221402,0,0,0.02065758715316597,0,0
5227,Tremaine Edmunds,LB,263,11,54,2,404,12,0.04182509505703422,0.037037037037037035,0.0297029702970297,0.03886769131556319,0.013550815558343787,0.028751037836555568
4035,Will Parks,S,92,7,5,0,105,2,0.07608695652173914,0,0.01904761904761905,0.04750663912658601,0,0.013019218846869188
6367,D.J. Reed,CB,445,15,12,0,623,35,0.033707865168539325,0,0.056179775280898875,0.03280581903966187,0,0.0553774964952559
748,Bruce Irvin,LB,193,5,171,7,28,1,0.025906735751295335,0.04093567251461988,0.03571428571428571,0.022736911549879835,0.034784377542717654,0.004817618719889882
4323,Xavien Howard,CB,298,14,5,0,611,-5,0.04697986577181208,0,-0.008183306055646482,0.04433487067224927,0,-0.00806213251981886
9027,Roderick Perry II,DT,22,0,15,0,0,NA,0,0,NA,0,0,NA
4578,Jaleel Johnson,DT,49,1,43,0,0,NA,0.02040816326530612,0,NA,0.006577181208053692,0,NA
9250,DaRon Bland,CB,224,4,19,2,333,18,0.017857142857142856,0.10526315789473684,0.05405405405405406,0.016173285198555955,0.007063197026022304,0.05157371237803514
8499,Kelvin Joseph,CB,60,2,2,0,95,0,0.03333333333333333,0,0,0.013856812933025407,0,0
7826,JuJu Hughes,S,55,2,10,0,80,3,0.03636363636363636,0,0.0375,0.013613861386138614,0,0.020905923344947733
7908,Bobby Price,CB,17,0,0,NA,18,-2,0,NA,-0.1111111111111111,0,NA,-0.006739049045301385
7595,DaVon Hamilton,DT,273,12,300,3,6,2,0.04395604395604396,0.01,0.3333333333333333,0.04105160271672389,0.009443861490031479,0.0023800079333597774
907,John Jenkins,DT,113,0,128,1,2,0,0,0.0078125,0,0,0.005950167348456675,0
173,Jimmie Ward,S,123,8,18,1,341,19,0.06504065040650407,0.05555555555555555,0.05571847507331378,0.048587793798143396,0.0033695245226506923,0.05327161204387364
7126,Quinnen Williams,DT,253,9,396,22,4,0,0.03557312252964427,0.05555555555555555,0,0.03287516964569317,0.05370749389687569,0
4757,Rudy Ford,S,169,4,2,0,250,17,0.023668639053254437,0,0.068,0.020041506077675658,0,0.06273062730627307
26,Bud Dupree,LB,122,4,278,9,23,-2,0.03278688524590164,0.03237410071942446,-0.08695652173913043,0.0243926821953414,0.03030449843753785,-0.008285302593659942
9549,Sam Okuayinonu,DT,36,2,59,1,3,0,0.05555555555555555,0.01694915254237288,0,0.011370814908401769,0.006908665105386416,0
6775,Jalen Dalton,DT,65,2,71,0,1,0,0.03076923076923077,0,0,0.013993541442411198,0,0
8357,Alim McNeill,DT,340,3,386,1,3,0,0.008823529411764706,0.0025906735751295338,0,0.008433934182239127,0.002500291484758586,0
8501,Chauncey Golston,DE,97,7,122,0,2,0,0.07216494845360824,0,0,0.046808217289397484,0,0
9127,Sam Williams,DE,100,6,156,11,7,0,0.06,0.07051282051282051,0,0.039735099337748346,0.0581852705818527,0
9004,Jordan Davis,DT,107,2,106,1,1,0,0.018691588785046728,0.009433962264150943,0,0.012925827494563905,0.006486354179415003,0
7765,T.J. Carter,DE,2,0,2,0,0,NA,0,0,NA,0,0,NA
5021,Quincy Wilson,CB,3,0,0,NA,8,0,0,NA,0,0,NA,0
8506,Quinton Bohanna,DT,143,4,109,-1,0,NA,0.027972027972027972,-0.009174311926605505,NA,0.022350734604563927,-0.0064155385520894654,NA
9139,Dominique Robinson,DE,236,4,266,2,11,-1,0.01694915254237288,0.007518796992481203,-0.09090909090909091,0.015492680364997045,0.006997974270605877,-0.0021434138737334374
7204,Khalen Saunders,DT,161,4,233,8,7,0,0.024844720496894408,0.034334763948497854,0,0.02071938742680651,0.031316152011021135,0
6548,Matthew Adams,LB,115,6,8,0,51,4,0.05217391304347826,0,0.0784313725490196,0.0376226826608506,0,0.02665969681129116
3458,Deon Bush,S,15,0,3,0,48,-2,0,0,-0.041666666666666664,0,0,-0.013057671381936886
2763,Rakeem Nunez-Roches,DT,247,6,269,3,8,0,0.024291497975708502,0.011152416356877323,0,0.02236778555904371,0.010395465670488211,0
2985,Mike Pennel Jr.,DT,191,6,148,5,3,0,0.031413612565445025,0.033783783783783786,0,0.027500479938567864,0.027354724234807042,0
8321,Tyler Shelvin,DT,12,0,10,0,0,NA,0,0,NA,0,0,NA
8399,Dayo Odeyingbo,DE,214,12,274,9,0,NA,0.056074766355140186,0.032846715328467155,NA,0.0503430699862772,0.030690728064716864,NA
9219,Damarri Mathis,CB,285,12,7,0,451,24,0.042105263157894736,0,0.05321507760532151,0.03953300196509074,0,0.051826173558309235
6443,Genard Avery,LB,9,2,51,2,6,0,0.2222222222222222,0.0392156862745098,0,0.003536345776031434,0.01332984840564558,0
6352,Josh Jackson,CB,25,1,2,0,52,3,0.04,0,0.057692307692307696,0.004424778761061947,0,0.020113460546673543
3009,Za'Darius Smith,LB,239,14,466,21,31,0,0.058577405857740586,0.045064377682403435,0,0.05365618986529827,0.04395791970245528,0
6852,Justin Hollins,LB,125,4,138,3,35,1,0.032,0.021739130434782608,0.02857142857142857,0.024096385542168676,0.017120172028781737,0.005591054313099041
2971,Angelo Blackson,DE,180,1,192,0,0,NA,0.005555555555555556,0,NA,0.004789781798829164,0,NA
4986,Chuck Clark,S,373,11,35,0,632,20,0.029490616621983913,0,0.03164556962025317,0.02839407067030214,0,0.0312055617001106
1112,Landon Collins,S,32,-1,26,1,100,5,-0.03125,0.038461538461538464,0.05,-0.005284015852047556,0.004559803577692038,0.033112582781456956
