ID,RedZone,Down,ToGo,StartYard,Formation,EPA,IsPass,IsRush,PasserStrength,RusherStrength,BlockerStrength,DefenderStrength
1,0,1,10,75,3-4,0.3279,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.021477068071692636
3,0,1,10,62,3-4,0.333809,0,1,0.04024106073619201,0.018006649082135884,0.03986718748264072,0.02674109687121545
4,0,2,3,55,3-4,0.442917,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.02297860831507753
5,0,1,10,49,3-4,-0.306672,0,1,0.04024106073619201,0.018006649082135884,0.03986718748264072,0.02674109687121545
6,0,2,8,47,3-4,0.959356,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.01808232637745691
7,0,1,10,35,3-4,-0.455984,0,1,0.04024106073619201,0.018006649082135884,0.03986718748264072,0.023741827777771153
8,0,2,9,34,3-4,0.39073600000000003,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.02247570506014963
9,0,3,1,26,3-4,2.798102,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.01872975421679136
10,0,1,10,83,3-4,-0.052878,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.0304822787541167
11,0,2,10,83,3-4,-0.51298,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.0304822787541167
12,0,3,8,81,3-4,2.466506,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03513776065888727
13,0,1,10,58,3-4,-0.352166,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.02317080336218691
14,0,2,9,57,3-4,1.000155,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03215643432549946
15,0,1,10,47,3-4,-0.109107,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.030986948164455207
16,0,2,6,43,3-4,-1.975964,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03276890684703441
17,0,3,14,51,3-4,-0.449693,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03276890684703441
18,0,1,10,91,3-4,0.434206,0,1,0.04024106073619201,0.018006649082135884,0.03986718748264072,0.02674109687121545
19,0,2,3,84,3-4,-0.922623,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.015249887766644932
20,0,3,4,85,3-4,1.248383,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.027574329978093035
21,0,1,10,75,3-4,0.643682,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.021477068071692636
22,0,1,10,64,3-4,0.659693,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.021477068071692636
23,0,1,10,32,3-4,-0.161301,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.0035955591418074377
24,0,2,7,29,3-4,-4.22153,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.010725019833272129
25,0,1,10,76,4-3,-0.670211,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.014244444445076467
26,0,2,10,76,3-4,0.101702,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03680816296596334
27,0,3,4,70,3-4,-1.325233,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03335580197630807
28,0,1,10,68,3-4,-0.30855900000000003,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.02277745818872775
29,0,2,8,66,3-4,-4.433206,0,1,0.04024106073619201,0.018006649082135884,0.03986718748264072,0.02612628009527837
30,0,1,10,36,4-3,-0.523144,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.025403309961276065
31,0,2,10,36,3-4,-4.218621,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.026707716582558216
32,0,1,10,68,3-4,0.042598,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.012414092700027822
33,0,2,5,63,3-4,-0.283231,0,1,0.04024106073619201,0.018006649082135884,0.03986718748264072,0.025068226006034672
34,0,3,2,60,3-4,1.26156,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.024166762295928196
35,0,1,10,50,3-4,1.086305,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.01718165445735411
36,0,1,10,29,3-4,-0.07216,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.011306116132209363
37,0,2,6,25,3-4,-0.329621,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.01718165445735411
38,0,3,4,23,4-3,-1.05761,1,0,0.04024106073619201,0.018006649082135884,0.03158033797941045,0.024166762295928196
39,0,1,10,60,3-4,-0.023988,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.0304822787541167
40,0,2,6,56,3-4,-0.708273,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03513776065888727
41,0,3,6,56,3-4,1.54628,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03513776065888727
42,0,1,10,36,4-3,0.321529,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.023726390249170403
43,0,2,4,30,4-3,-2.39167,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.023726390249170403
44,0,3,14,40,3-4,0.995467,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.026081543076727113
45,0,4,2,28,4-3,1.809122,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.026707716582558216
46,0,1,10,25,3-4,0.728481,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.023434721054742404
47,1,1,7,7,3-4,0.271329,0,1,0.01625963808332278,0.0013828204667423827,0.0361047542210841,0.02266444552552778
48,1,2,4,4,3-4,1.047108,1,0,0.01625963808332278,0.0013828204667423827,0.028280561904264985,0.03278260783133056
