ID,Pressure,Sack,SnapToThrowTime,Down,ToGo,TotalToGo,Formation,EPA,PasserStrength,BlockerStrength,DefenderStrength
1,0,0,2.2,1,10,75,3-4,0.3279,0.04024106073619201,0.03158033797941045,0.021477068071692636
4,1,0,3,2,3,55,3-4,0.442917,0.04024106073619201,0.03158033797941045,0.02297860831507753
6,0,0,1.867,2,8,47,3-4,0.959356,0.04024106073619201,0.03158033797941045,0.01808232637745691
8,1,0,5,2,9,34,3-4,0.39073600000000003,0.04024106073619201,0.03158033797941045,0.02247570506014963
14,0,0,2.5,2,9,57,3-4,1.000155,0.01625963808332278,0.028280561904264985,0.03215643432549946
15,0,0,3.667,1,10,47,3-4,-0.109107,0.01625963808332278,0.028280561904264985,0.030986948164455207
16,1,1,3.1,2,6,43,3-4,-1.975964,0.01625963808332278,0.028280561904264985,0.03276890684703441
17,0,0,2.233,3,14,51,3-4,-0.449693,0.01625963808332278,0.028280561904264985,0.03276890684703441
21,0,0,1.367,1,10,75,3-4,0.643682,0.04024106073619201,0.03158033797941045,0.021477068071692636
22,0,0,2.667,1,10,64,3-4,0.659693,0.04024106073619201,0.03158033797941045,0.021477068071692636
23,0,0,2.8,1,10,32,3-4,-0.161301,0.04024106073619201,0.03158033797941045,0.0035955591418074377
24,0,0,1.9,2,7,29,3-4,-4.22153,0.04024106073619201,0.03158033797941045,0.010725019833272129
26,0,0,2.4,2,10,76,3-4,0.101702,0.01625963808332278,0.028280561904264985,0.03680816296596334
27,1,0,2.733,3,4,70,3-4,-1.325233,0.01625963808332278,0.028280561904264985,0.03335580197630807
28,0,0,2.6,1,10,68,3-4,-0.30855900000000003,0.04024106073619201,0.03158033797941045,0.02277745818872775
34,0,0,2.133,3,2,60,3-4,1.26156,0.04024106073619201,0.03158033797941045,0.024166762295928196
35,0,0,2.833,1,10,50,3-4,1.086305,0.04024106073619201,0.03158033797941045,0.01718165445735411
37,0,0,1.9,2,6,25,3-4,-0.329621,0.04024106073619201,0.03158033797941045,0.01718165445735411
38,0,0,2.1,3,4,23,4-3,-1.05761,0.04024106073619201,0.03158033797941045,0.024166762295928196
41,0,0,2.433,3,6,56,3-4,1.54628,0.01625963808332278,0.028280561904264985,0.03513776065888727
43,1,1,2.767,2,4,30,4-3,-2.39167,0.01625963808332278,0.028280561904264985,0.023726390249170403
44,0,0,4.367,3,14,40,3-4,0.995467,0.01625963808332278,0.028280561904264985,0.026081543076727113
45,0,0,1.6,4,2,28,4-3,1.809122,0.01625963808332278,0.028280561904264985,0.026707716582558216
50,1,1,3.367,2,8,73,3-4,-1.119326,0.04024106073619201,0.03158033797941045,0.018299865319973917
51,0,0,1.7,3,7,72,0-0,1.698406,0.04024106073619201,0.03158033797941045,0.027574329978093035
52,0,0,3.767,1,10,62,3-4,-4.532439,0.04024106073619201,0.03158033797941045,0.027574329978093035
54,0,0,2.467,2,10,45,3-4,-0.875189,0.01625963808332278,0.028280561904264985,0.030409198087302303
55,0,0,2.433,1,10,40,3-4,0.772196,0.01625963808332278,0.028280561904264985,0.038590121648542544
58,1,1,3.067,1,10,29,3-4,-1.767396,0.01625963808332278,0.028280561904264985,0.030413754019477695
59,0,0,1.167,2,19,38,3-4,-1.294171,0.01625963808332278,0.028280561904264985,0.030413754019477695
68,0,0,1.733,1,10,22,3-4,0.247165,0.04024106073619201,0.03158033797941045,0.009931274160022258
72,0,0,3.4,2,10,75,3-4,1.956507,0.01625963808332278,0.028280561904264985,0.026707716582558216
73,0,0,4.067,1,10,52,4-3,0.504165,0.01625963808332278,0.028280561904264985,0.026707716582558216
76,0,0,3.567,3,18,50,3-4,-0.619612,0.01625963808332278,0.028280561904264985,0.03215643432549946
80,0,0,2.633,2,10,78,3-4,1.292937,0.04024106073619201,0.03158033797941045,0.021698791652948288
82,0,0,2.3,2,9,66,3-4,-0.342324,0.04024106073619201,0.03158033797941045,0.01718165445735411
83,0,0,2.167,3,5,62,4-3,1.295368,0.04024106073619201,0.03158033797941045,0.024166762295928196
84,0,0,2,1,10,56,3-4,-0.446886,0.04024106073619201,0.03158033797941045,0.024166762295928196
86,1,0,2.867,3,7,53,3-4,3.444123,0.04024106073619201,0.03158033797941045,0.02750049724173016
90,0,0,2.4,1,10,78,3-4,0.652298,0.01625963808332278,0.028280561904264985,0.03278260783133056
92,1,0,2.433,2,10,68,3-4,0.093259,0.01625963808332278,0.028280561904264985,0.03278260783133056
93,1,0,2.733,3,3,61,3-4,0.98685,0.01625963808332278,0.028280561904264985,0.03393839300807865
94,1,0,2.8,1,10,57,3-4,-3.996097,0.01625963808332278,0.028280561904264985,0.03870835788497751
95,0,0,3.633,1,10,59,3-4,-0.332306,0.04024106073619201,0.03158033797941045,0.020591521069411613
97,0,0,4.267,3,4,53,3-4,4.486304,0.04024106073619201,0.03158033797941045,0.024166762295928196
98,0,0,1.633,1,10,76,3-4,-0.670211,0.01625963808332278,0.028280561904264985,0.03405662924451362
100,1,0,3.2,3,10,76,3-4,-0.254819,0.01625963808332278,0.028280561904264985,0.03278260783133056
102,0,0,2.5,1,10,66,3-4,0.310598,0.01625963808332278,0.028280561904264985,0.030409198087302303
103,0,0,2.233,2,4,60,3-4,0.192932,0.01625963808332278,0.028280561904264985,0.03468280275034473
109,1,0,4.167,3,2,74,3-4,1.177061,0.01625963808332278,0.028280561904264985,0.025508348931749605
110,1,0,2.867,1,10,66,4-3,0.310598,0.01625963808332278,0.028280561904264985,0.024352563755001506
111,0,0,2.067,2,4,60,3-4,0.192932,0.01625963808332278,0.028280561904264985,0.03743433647179444
112,0,0,3.367,1,10,55,3-4,-0.467327,0.01625963808332278,0.028280561904264985,0.03743433647179444
113,0,0,3.633,2,10,55,3-4,1.076092,0.01625963808332278,0.028280561904264985,0.03870835788497751
114,0,0,2.167,1,10,44,3-4,-0.092848,0.01625963808332278,0.028280561904264985,0.03870835788497751
115,0,0,1.867,2,6,40,3-4,-0.781621,0.01625963808332278,0.028280561904264985,0.03870835788497751
124,0,0,2.967,2,4,58,4-3,-0.799398,0.0190038838273121,0.03571259919820818,0.028739957412313298
128,1,0,2.5,1,10,40,3-4,-0.55177,0.0190038838273121,0.03571259919820818,0.009717251096757949
132,0,0,2.567,3,3,68,3-4,-1.365928,0.03732296859373035,0.03587929273877438,0.008816958178492373
134,0,0,2.367,2,10,79,3-4,-0.615247,0.0190038838273121,0.03571259919820818,0.01984358862727343
141,0,0,3.667,1,10,75,4-3,-3.927776,0.0190038838273121,0.03571259919820818,0.018435509192848715
142,0,0,2.267,1,10,43,3-4,-0.468245,0.03732296859373035,0.03587929273877438,0.013348135011747083
145,0,0,3.967,1,10,30,3-4,-0.246364,0.03732296859373035,0.03587929273877438,0.0033745603120649893
147,1,0,3.667,3,6,26,0-0,-1.091695,0.03732296859373035,0.03587929273877438,0.013841763731556597
157,0,0,2.433,1,10,75,3-4,-0.359615,0.03732296859373035,0.03587929273877438,0.019014240619487206
163,0,0,3.033,2,20,78,4-3,0.244346,0.0190038838273121,0.03571259919820818,0.03263931868228893
164,0,0,2.067,3,9,67,0-0,-0.856338,0.0190038838273121,0.03571259919820818,0.014928933073063047
166,1,1,3.7,1,10,67,3-4,-1.359429,0.03732296859373035,0.03587929273877438,0.008816958178492373
167,0,0,2.5,2,18,75,3-4,0.314686,0.03732296859373035,0.03587929273877438,0.0033745603120649893
173,0,0,2.5,3,5,32,3-4,-1.157942,0.0190038838273121,0.03571259919820818,0.014214589196471525
174,0,0,2.5,1,10,75,3-4,0.138211,0.03732296859373035,0.03587929273877438,0.014632108701285175
175,0,0,3.6,2,5,70,3-4,-0.832373,0.03732296859373035,0.03587929273877438,0.017290891479408738
176,1,1,3.6,3,5,70,3-4,-1.718372,0.03732296859373035,0.03587929273877438,0.0098505338291874
177,0,0,3.067,1,10,61,0-0,1.764157,0.0190038838273121,0.03571259919820818,0.013485440070819588
178,0,0,1.7,1,10,30,0-0,0.544898,0.0190038838273121,0.03571259919820818,0.02606145018080461
182,1,0,2.867,3,4,69,3-4,1.472352,0.03732296859373035,0.03587929273877438,0.011021197723115467
184,0,0,2.367,2,1,49,3-4,0.283093,0.03732296859373035,0.03587929273877438,0.0060477078552670215
185,0,0,2.267,1,10,43,3-4,-0.125607,0.03732296859373035,0.03587929273877438,0.0040585546257325324
187,0,0,3.1,1,10,32,3-4,-0.499137,0.03732296859373035,0.03587929273877438,0.007841848700746121
188,1,1,2.4,2,10,32,3-4,-2.176419,0.03732296859373035,0.03587929273877438,0.012199827806303291
189,1,0,5.3,3,19,41,3-4,0.757524,0.03732296859373035,0.03587929273877438,0.015301963506548394
193,0,0,3.433,2,9,54,3-4,1.108359,0.0190038838273121,0.03571259919820818,0.014142682550592282
197,0,0,2.733,2,6,56,3-4,-0.672616,0.03732296859373035,0.03587929273877438,0.011221108789248233
198,1,0,3.367,3,6,56,3-4,-4.444571,0.03732296859373035,0.03587929273877438,0.013489082703215007
213,0,0,3.033,1,10,75,3-4,1.530631,0.03732296859373035,0.03587929273877438,0.003298715903233682
214,0,0,3.167,1,10,49,3-4,0.703441,0.03732296859373035,0.03587929273877438,0.004123394879042103
215,0,0,2.667,1,10,34,3-4,2.011798,0.03732296859373035,0.03587929273877438,0.004123394879042103
217,1,0,3.8,1,10,75,3-4,-0.654398,0.0190038838273121,0.03571259919820818,0.009717251096757949
219,0,0,3.633,3,6,71,0-0,1.852928,0.0190038838273121,0.03571259919820818,0.011781752647590654
221,0,0,2.467,2,12,60,0-0,0.60245,0.0190038838273121,0.03571259919820818,0.024853360867074476
