ID,OffensiveYardarge,Down,ToGo,TotalToGo,Formation,EPA,ScramblerStrength,BlockerStrength,DefenderStrength
2,7,2,4,69,3-4,0.426005,0.04024106073619201,0.03986718748264072,0.02969075780742726
57,2,3,1,31,4-3,0.90544500000000006,0.01625963808332278,0.0361047542210841,0.014508362137631962
66,8,3,7,43,0-0,1.529729,0.04024106073619201,0.03986718748264072,0.02612628009527837
104,13,1,10,37,3-4,0.732962,0.04024106073619201,0.03986718748264072,0.021543134954627445
131,6,2,9,74,3-4,0.076428,0.03732296859373035,0.03967516837635983,0.01793740484296605
159,3,3,6,71,0-0,-0.953115,0.03732296859373035,0.03967516837635983,0.01502437433045204
169,6,1,10,58,4-3,0.217168,0.0190038838273121,0.04132343770290404,0.024704899548479983
231,7,1,10,75,4-3,0.587494,0.0190038838273121,0.04132343770290404,0.03417051084274285
260,2,1,10,55,3-4,-0.256052,0.030967027012518366,0.03549909671984428,0.010808375445007434
278,2,1,10,42,3-4,-0.321738,0.030967027012518366,0.03549909671984428,0.03620308728750982
338,4,2,8,73,3-4,-0.183887,0.030967027012518366,0.03549909671984428,0.03938038032045957
409,8,1,10,76,4-3,0.904786,0.007066130927046504,0.042331760004245836,0.02236719569163445
415,12,2,8,45,4-3,1.142114,0.007066130927046504,0.042331760004245836,0.029448794097901694
416,3,1,10,33,4-3,-0.175229,0.007066130927046504,0.042331760004245836,0.029448794097901694
442,8,3,9,67,4-3,-0.208434,0.033768230363296674,0.03717675303231835,0.00826076762996901
454,1,1,10,64,4-3,-0.406513,0.033768230363296674,0.03717675303231835,0.018597398211487093
466,3,3,2,70,4-3,0.843285,0.033768230363296674,0.03717675303231835,0.016346333501152922
468,3,2,2,59,4-3,-0.06351,0.033768230363296674,0.03717675303231835,0.010420201844240438
513,5,3,5,40,0-0,1.341538,0.03796216075595333,0.03446802007773319,0.04295659064405559
542,6,3,8,73,0-0,-0.671385,0.03796216075595333,0.03446802007773319,0.04295659064405559
