PlayerId,PlayerId_GSIS,Player,RosterPosition,Team,TotalSnaps,TotalPoints,PasserSnaps,PasserPoints,RusherSnaps,RusherPoints,ReceiverSnaps,ReceiverPoints,RunBlockSnaps,RunBlockPoints,PassBlockSnaps,PassBlockPoints,PassRushSnaps,PassRushPoints,PassCovSnaps,PassCovPoints,RunDefSnaps,RunDefPoints
8359,00-0036963,Amon-Ra St. Brown,WR,Lions,553,36,0,NULL,10,4,442,27,81,4,24,1,0,NULL,0,NULL,0,NULL
7663,00-0036294,Logan Wilson,LB,Bengals,911,18,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,79,5,502,7,343,6
7757,00-0036256,Colton McKivitz,T,49ers,65,2,0,NULL,0,NULL,0,NULL,33,0,32,1,0,NULL,0,NULL,0,NULL
7172,00-0035657,Damien Harris,RB,Patriots,216,-3,0,NULL,106,-1,90,-3,0,NULL,20,1,0,NULL,0,NULL,0,NULL
6855,00-0035678,Dre'Mont Jones,DT,Broncos,665,20,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,422,10,3,0,241,10
8431,00-0036940,Odafe Oweh,LB,Ravens,608,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,376,9,56,-1,178,6
7619,00-0036261,Brandon Aiyuk,WR,49ers,590,29,0,NULL,2,1,466,25,79,3,47,1,0,NULL,0,NULL,0,NULL
8916,00-0037754,Nicholas Petit-Frere,T,Titans,876,17,0,NULL,0,NULL,0,NULL,408,9,468,8,0,NULL,0,NULL,0,NULL
8406,00-0036955,Terrace Marshall Jr.,WR,Panthers,340,14,0,NULL,0,NULL,268,12,37,1,46,1,0,NULL,0,NULL,0,NULL
6633,00-0034854,KhaDarel Hodge,WR,Falcons,97,5,0,NULL,0,NULL,68,4,29,1,0,NULL,0,NULL,0,NULL,0,NULL
2732,00-0031580,Shaq Mason,G,Buccaneers,1119,37,0,NULL,0,NULL,0,NULL,361,11,758,26,0,NULL,0,NULL,0,NULL
8806,00-0036497,Tim Jones,WR,Jaguars,68,0,0,NULL,0,NULL,41,-1,13,0,16,0,0,NULL,0,NULL,0,NULL
6542,00-0034359,Tyquan Lewis,DE,Colts,253,6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,143,5,6,0,108,1
7782,00-0035924,Jonathan Ward,RB,Titans,9,1,0,NULL,5,1,4,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL
1106,00-0031241,Devon Kennard,LB,Ravens,29,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,15,0,3,0,11,0
8435,00-0036559,Shaun Wade,CB,Patriots,17,-6,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,17,-6,0,NULL
9042,00-0037819,Leo Chenal,LB,Chiefs,246,9,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,32,2,86,2,129,5
